2013,3,14,3.5,5.2,5.5,68.7,-20.8,85,20.36,17.17,300
2013,3,15,3,5.6,1.1,69.1,-22.4,90,18.78,12.94,300
2013,3,16,0,6.3,10.2,69.69,-15.2,47,16.01,19.89,300
2013,3,17,2.4,13.1,3.7,69.36,-11.2,73,21.62,12.4,295
2013,3,18,18.6,12.1,0,68.54,-11.2,97,21.73,7.54,295
2013,3,19,5.2,10.6,3.1,68.93,-13.7,87,21.65,9.96,310
2013,3,20,10.2,9.7,2.5,69.41,-11.7,83,22.2,11.71,315
2013,3,21,5.2,7.4,0.2,69.88,-14.2,96,20.04,9.53,320
2013,3,22,0,9.5,6.7,69.94,-9.7,96,19.67,19.73,320
2013,3,23,0.1,6.4,5,69.93,-5.6,94,21.97,16.91,320
2013,3,24,1,7.9,2.9,69.65,-6.8,94,22.46,12.13,315
2013,3,25,4.5,3.5,0.7,69.29,-6.6,93,25.67,13.03,310
2013,3,26,7.4,8.6,0,68.95,-12.4,96,22.29,9.27,320
2013,3,27,0.2,11.2,9.2,69.19,-12.4,85,18.79,23.08,320
2013,3,28,3.5,13.5,4.9,69.55,-9,81,21.72,15.32,320
2013,3,29,3.6,11.5,3.4,69.41,-8.8,95,24.51,17.83,325
2013,3,30,9,8.2,3.1,69.23,-8.3,93,24.97,13.39,325
2013,3,31,2,5.4,0.5,69.09,-13.6,97,22.78,18.02,330
2013,4,1,0,9.5,12.9,69.18,-12.2,50,14.65,25.39,335
2013,4,2,0,3.2,12,69.34,-9.3,62,16.99,23.82,335
2013,4,3,0,5,10.6,69.56,-9.8,73,17.72,24.06,325
2013,4,4,0.2,6.3,9.2,69.64,-7.4,75,18.26,22.2,320
2013,4,5,0,3.8,0.1,69.43,-8,93,24.31,12.24,315
2013,4,6,0,4.6,11.5,69.94,-7.9,51,19.28,25.36,315
2013,4,7,0.2,3.9,5.2,70.02,-10.5,62,20.06,21.38,310
2013,4,8,3.7,4.8,3.4,69.59,-8.2,55,20.68,15.24,310
2013,4,9,2,10.7,5.5,69.53,-9.7,92,21.41,17.96,310
2013,4,10,3.5,11,1.5,69.96,-9.7,96,24.34,12.88,310
2013,4,11,5.7,15.2,0.2,70.14,-4,97,27.14,9.83,310
2013,4,12,13.5,9.8,1.3,70.01,-6.3,97,26.39,13.26,310
2013,4,13,0.6,9.3,7.4,70.83,-8.2,88,21.89,23.06,320
2013,4,14,0,7.1,9.2,71.63,-2.4,89,23.98,23.51,320
2013,4,15,0,3.9,11.2,71.62,1.7,71,23.22,25.68,320
2013,4,16,0.6,4.7,0.6,71.49,-0.9,97,27.91,10.16,315
2013,4,17,0,6.8,8.1,71.65,0.4,86,23.75,21.3,315
2013,4,18,0,6.2,3,71.51,1.2,91,25.57,14.26,315
2013,4,19,9.8,5.9,0,71.01,-3.1,98,28.29,13.65,305
2013,4,20,3.7,12.4,0,70.68,-5.8,98,27.07,14.9,310
2013,4,21,0,8.4,11.3,70.74,-3.5,96,22.32,27.18,310
2013,4,22,0.5,5.3,3.2,70.6,-4.1,96,25.29,21.79,310
2013,4,23,0,4.8,12.5,71.15,-3.4,89,21.45,28.71,310
2013,4,24,0,3.2,11.6,71.74,-0.8,59,20.47,28.28,305
2013,4,25,0,5.9,14,71.75,0.8,46,19.33,29.59,300
2013,4,26,0.1,9.2,5.4,71,1.7,82,28.08,19.27,295
2013,4,27,0,7.8,2.2,70.02,-1.3,97,26.66,18.19,290
2013,4,28,0,8.8,5.7,70.51,-1.2,87,21.88,20.81,285
2013,4,29,0.2,12.9,0.7,71.03,-0.1,96,26.23,9.56,280
2013,4,30,0,11,1.8,71.19,0.8,90,26.71,12.56,275
2013,5,1,0.2,9.2,7,71.33,1.6,82,25.12,23.34,275
2013,5,2,8,3.5,2.1,71.08,0.5,90,27.61,14.87,270
2013,5,3,5.3,5,7.8,70.8,-1,89,25.64,22.45,265
2013,5,4,12,3.9,6.1,70.96,-3,97,25.79,20.42,265
2013,5,5,0,4.1,12.4,71.23,-2.1,83,22.16,29.4,265
2013,5,6,4.9,3.6,5.7,71.01,0.2,87,28.99,18.11,265
2013,5,7,4,2,0.2,70.92,-0.8,99,28.44,12.9,265
2013,5,8,0.1,4.3,7.4,70.99,0,94,22.84,22.42,265
2013,5,9,5,6.1,4.7,71.11,1.4,97,27.25,18.94,255
2013,5,10,18.7,3.6,0,70.81,-1.9,98,29.49,7.68,250
2013,5,11,13.3,3.9,0,70.62,-5.3,98,28.64,7.09,255
2013,5,12,24.5,4.9,0.7,70.57,-7.4,98,26.37,15.64,265
2013,5,13,4.5,6.2,0.6,70.73,-6.9,99,27.3,15.16,280
2013,5,14,0,9.8,12.7,70.65,-1.8,93,22.74,31.96,285
2013,5,15,0,10.7,7.7,70.2,-1.3,87,22.99,22.95,280
