y,m,d,Prec,Pa_kPa,Rhu_percent,Sun_h,TemAir_mean,TemAir_max,TemAir_min,Wv_ms
1967,3,28,5.4,65.94,79,2.1,0.6,4.9,-1.6,2.3
1967,3,29,7.9,66.08,68,8.6,-1.2,3.5,-5,2.3
1967,3,30,0,66.23,46,11,-3.1,1.7,-7.2,2
1967,3,31,1,66.28,63,7.5,-5.3,-0.4,-10.2,1.3
1967,4,1,0,66,68,10.3,-3.7,3.3,-10,1.7
1967,4,2,0,65.97,52,6.7,1.1,8.6,-4.3,1
1967,4,3,0,66.61,64,9.8,-0.6,5.2,-4.9,2.7
1967,4,4,1,66.45,75,1,-1.9,2.4,-4.9,1.7
1967,4,5,0.2,66.12,88,7.5,-1.1,5.3,-5.2,0.7
1967,4,6,1.6,65.85,83,0.3,0.6,4.3,-2.1,2
1967,4,7,1.4,66.1,67,10.6,1.3,8.7,-3.3,5
1967,4,8,0,66.2,55,9.8,2.5,10.4,-5.2,2.3
1967,4,9,1,66.22,68,2.6,1.4,5.8,-1.4,2
1967,4,10,4.1,66.56,73,4.6,-4.2,-0.8,-7.6,3
1967,4,11,2.6,66.56,73,10.7,-2.1,2.8,-6.2,5
1967,4,12,0,66.8,68,6.6,-2.6,5.5,-8.2,1
1967,4,13,3.5,66.49,72,0.9,-0.8,3.5,-3.1,6
1967,4,14,1,66.86,56,10.1,-1.6,5.7,-7.3,4
1967,4,15,1,66.61,59,7.3,-0.1,7.3,-4.9,2.3
1967,4,16,0.6,66.65,62,5.2,0,3.9,-3.8,3.3
1967,4,17,1,66.47,63,8.6,-0.4,8.2,-5.2,4.7
1967,4,18,0,66.67,51,11.9,1.8,11.1,-6.3,2.3
1967,4,19,0,66.51,53,8.7,4.8,13.9,-1.9,2
1967,4,20,2.4,66.46,75,1.5,2.3,8.3,-0.2,3.7
1967,4,21,1.6,66.94,79,4,0,4.1,-4.1,1.3
1967,4,22,0.5,67.04,75,6,-0.3,4.3,-3.8,3
1967,4,23,0,66.95,49,12.1,1.8,10.5,-6.3,2
1967,4,24,0,66.72,45,10.8,3,11.8,-4.9,3.3
1967,4,25,1,66.64,52,9.5,1.4,10,-5.1,6
1967,4,26,1,66.48,61,9.7,2.1,11.3,-6.2,1.7
1967,4,27,1.1,66.4,63,7.2,4.3,16.2,-4.6,0.3
1967,4,28,0,66.3,38,10.5,9,20.1,-4.4,5
1967,4,29,0.4,66.21,48,7.4,10.3,19.6,-0.8,2
1967,4,30,2,66.61,78,0,5.8,8.5,3.1,3
1967,5,1,1,66.49,74,7.9,7.7,15.8,2.5,2
1967,5,2,1,66.18,71,8.7,7.5,16.5,0.6,2.7
1967,5,3,9,66.18,65,10.8,6.8,12.3,2,4.3
1967,5,4,2.9,66.36,82,2.3,4.9,9.3,1.7,3
1967,5,5,7.3,66.26,90,2.1,1.9,6.9,0.2,3.7
1967,5,6,3.9,66.51,80,0.5,0.8,4.5,-1.8,3
1967,5,7,1,66.97,50,9.1,1.8,6.9,-2.4,3.3
1967,5,8,1,67,55,12,2.6,10.5,-4.3,2
1967,5,9,1,66.89,67,9.3,3.3,10.9,-1.6,2.7
1967,5,10,0,66.77,66,11.1,4.9,11.8,-1.9,2.3
1967,5,11,0.6,66.74,67,11.3,5.4,13.9,-3.3,3
1967,5,12,2.5,66.79,70,7.6,6.1,14.2,-1.8,1.7
1967,5,13,4.5,66.78,83,4.6,5.8,10.9,2.6,2.7
1967,5,14,0.4,66.74,80,6.1,7.1,15.8,2.4,3
1967,5,15,12.9,66.6,91,1.9,5.2,12.7,3,2.3
1967,5,16,18.5,66.58,83,7.3,6,11.3,1.1,4
1967,5,17,15.4,66.77,87,4.3,4.8,11.4,0.4,3.3
1967,5,18,4.4,66.76,82,8.2,6.6,12.9,2.4,3.3
1967,5,19,9.5,66.6,89,0.1,5.7,9.2,4.2,2.3
1967,5,20,1.8,66.66,76,9,6.7,13.3,2,4.3
1967,5,21,1,66.76,62,11.4,8.2,15.8,1,3
1967,5,22,1,66.64,65,9.5,8.8,15.1,3.6,2
1967,5,23,1,66.58,68,9.3,9.1,15,3.5,3
1967,5,24,1,66.75,76,8.5,7.2,15.3,2.5,2.3
1967,5,25,0.9,66.59,78,6,8.9,16.7,4.2,1
1967,5,26,1.8,66.64,72,6.5,10.6,16.6,5.3,1
1967,5,27,4.9,66.59,73,6.2,11.2,16.9,6.5,1.3
1967,5,28,0.2,66.58,71,5.1,12.2,18.3,8,2.7
1967,5,29,2.9,66.79,81,4,10.3,16.6,6.4,2.7
1967,5,30,5.3,67.04,77,6.2,10.3,15.3,6.1,0.7
1967,5,31,7.6,67.17,74,7.2,9.2,14.1,3.8,1.3
1967,6,1,0.1,66.84,76,6.7,8.1,13.3,4.7,1.7
1967,6,2,0.4,66.87,80,5.3,7.6,11.3,4.1,1.3
1967,6,3,2.9,66.98,82,1.8,5.4,9.1,2.8,1.7
1967,6,4,0.3,67.01,75,9.7,6.9,11.5,1.1,0.7
1967,6,5,1,66.55,73,12.2,8.2,15.8,1,1.7
1967,6,6,9.2,66.57,77,0,6.2,13.7,3.2,4.3
1967,6,7,1,67.21,61,9,4.3,9.4,-0.6,1
1967,6,8,1,67.13,49,13.3,5.3,11.2,-1.4,5
1967,6,9,1,67.13,54,10.9,4.7,12.9,-5,1.7
1967,6,10,1,66.87,57,9.8,5.8,13.5,-2.9,0.7
1967,6,11,3.7,66.97,81,6.4,3.9,10.3,-0.8,4.3
1967,6,12,2.3,66.79,69,10.8,5.1,13.7,-2.5,3
1967,6,13,0.5,66.65,70,7.3,7.8,13.8,2.2,1.3
1967,6,14,2.1,66.84,78,4.6,7.6,12.8,1.7,1.7
1967,6,15,1,66.89,69,9.6,9.6,16.5,2.6,1.3
1967,6,16,1.1,66.81,76,9.6,10.2,17,3.6,2.3
1967,6,17,1.6,66.62,75,4.8,10.9,17.4,7,1.7
1967,6,18,5.7,66.57,77,0.5,7.7,11.6,5.5,6
1967,6,19,3.3,66.76,81,1.1,6,10.5,3.1,1.3
1967,6,20,11.1,66.63,86,1.1,6,11.6,3.6,3.7
1967,6,21,0.4,66.66,70,12.6,8.5,16.3,2.5,7.7
1967,6,22,0.1,66.69,67,9,8.4,15.6,-0.4,1.3
1967,6,23,1,66.79,67,10.7,9.1,14.7,2.8,3.7
1967,6,24,1,66.72,68,11,7.7,16.6,-2.2,2.3
1967,6,25,15.6,66.65,84,0,7.3,11.8,4.6,2.3
1967,6,26,1,66.76,71,9.4,8.1,14.6,3.3,3
1967,6,27,1.9,66.69,72,8.9,9.2,16.8,3,3
1967,6,28,2.7,66.78,78,7.8,11.2,16.6,6.6,2.3
1967,6,29,35.2,66.49,75,7.8,11.9,18,7.5,2
1967,6,30,21.8,66.68,74,10.9,10.6,16.3,5.2,2.7
1967,7,1,9.6,66.7,77,10,9.7,17.1,3.8,2
1967,7,2,1,66.63,84,6.8,10.7,16.6,4.8,1.7
1967,7,3,7,66.56,78,4.7,13.2,17.9,9.3,3.7
1967,7,4,4.2,66.86,74,5.3,11.5,16.9,7,1.3
1967,7,5,4.8,66.71,80,10,10.5,18.3,2.7,1.3
1967,7,6,7.1,66.81,77,0.9,6.7,10.3,5.2,5
1967,7,7,0.1,66.86,74,11.8,7,14.1,-1.7,2
1967,7,8,1,66.61,80,8,9,15.7,2.2,1
1967,7,9,1,66.28,87,4.3,10.1,15.7,6.9,2.3
1967,7,10,11.6,66.31,84,2.9,11.8,17.8,8.3,1.7
1967,7,11,12.3,66.41,83,5.1,12.3,17.3,8,2.3
1967,7,12,5.6,66.62,69,7.5,11.8,16.2,7.3,4.7
1967,7,13,1,66.96,66,11.6,12.4,18.3,7.3,1
1967,7,14,0.5,67,74,8.4,12,18.3,7.3,2.7
1967,7,15,2.8,66.84,80,9.4,13,19.6,4.1,1.7
1967,7,16,0.1,66.5,77,8.4,14.7,19.7,7.5,2.3
1967,7,17,1.3,66.68,82,0.6,13.7,17.3,10.4,2.7
1967,7,18,0,67.02,75,10.6,14.6,20.1,7.4,2.3
1967,7,19,7.9,66.95,85,1.2,12,17.1,8,2
1967,7,20,9.4,67.06,72,2.7,12,15.8,8.7,3
1967,7,21,0.7,67.21,83,3.1,7.3,12.4,4.4,4.3
1967,7,22,5.2,67.07,75,11.3,7.4,15.3,1.2,3
1967,7,23,1.5,67.05,84,1.6,5.9,10.4,0.9,3
1967,7,24,0.1,66.89,69,12.9,7.5,16,-1.9,2
1967,7,25,0.1,66.9,73,13.4,9.2,18.4,-1.1,1
1967,7,26,0,67.01,65,13.3,11.4,18.8,2.1,1.7
1967,7,27,0,67.07,70,13.3,12.5,19,2.5,1.3
1967,7,28,0,67.04,68,13.5,12.7,20.7,2.2,1
1967,7,29,0,67,71,13.4,13.1,20.4,2.6,0.3
1967,7,30,0,66.96,73,12.9,13,20.4,4.9,2
1967,7,31,0,66.89,74,12.4,14.6,20.8,7.5,0.7
1967,8,1,0,66.8,74,13,14.2,21.1,7.1,1.7
1967,8,2,1,66.8,77,8.7,13.5,19.5,7,3
1967,8,3,3.9,66.8,86,1.9,11.6,17.6,8.9,1.3
1967,8,4,26.1,66.69,79,7.4,12.2,18.8,8.4,2
1967,8,5,0,66.65,82,8.7,12.4,19,5.9,2
1967,8,6,1,66.58,77,10.2,13.7,20.3,7.1,3
1967,8,7,0.1,66.78,77,4.7,13.2,18.6,9.7,3.3
1967,8,8,8.5,67.08,81,3.4,11.8,17.8,8.8,2.3
1967,8,9,15.1,67.04,85,3.1,10.8,18.7,5.3,1.7
1967,8,10,9.1,66.89,85,2.5,12,16.7,9.5,3.3
1967,8,11,4.4,66.73,88,2.1,11.3,17,7.5,2
1967,8,12,19.1,66.81,73,7.2,10.3,16.9,4.4,1.3
1967,8,13,0,67.01,68,9.2,9.2,16.3,1.6,1.7
1967,8,14,4.2,67.39,82,5.7,7.9,12.7,4.2,1.3
1967,8,15,1,67.31,77,9,7.7,15.5,0.5,1.7
