#ID	T_SAND	T_SILT	T_CLAY	T_USDA_TEX_CLASS	T_OC	S_SAND	S_SILT	S_CLAY	S_USDA_TEX_CLASS	S_OC
11627	76	14	10	11	0.89	60	14	26	10	0.6
11628	19	32	49	3	1.19	21	32	47	3	0.55
11629	20	40	40	3	33.63	47	26	27	10	32.89
11630	35	33	32	5	39.4	52	23	25	10	38.46
11631	20	40	40	3	33.63	47	26	27	10	32.89
11632	86	8	6	12	2.02	86	6	8	12	0.51
11633	17	29	54	3	4.54	22	25	53	3	1.23
11634	49	31	20	9	2.4	-99	-99	-99	-99	-99
11635	39	40	21	9	0.86	41	38	21	9	0.38
11636	47	33	20	9	1.05	51	29	20	9	0.41
11637	76	14	10	11	0.89	60	14	26	10	0.6
11638	35	33	32	5	39.4	52	23	25	10	38.46
11639	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
11640	80	9	11	11	0.45	72	9	19	11	0.26
11641	42	36	22	9	1	41	34	25	9	0.37
11642	37	44	19	9	0.99	31	38	31	5	0.29
11643	90	5	5	13	0.39	87	5	8	12	0.2
11644	41	37	22	9	0.74	37	34	29	5	0.36
11645	81	9	10	11	0.5	67	10	23	10	0.3
11646	75	19	6	11	0.9	79	14	7	12	0.28
11647	87	9	4	12	2.18	88	8	4	13	0.39
11648	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
11649	39	40	21	9	0.86	41	38	21	9	0.38
11650	79	12	9	11	0.87	79	11	10	11	0.26
11651	77	14	9	11	0.7	67	16	17	11	0.4
11652	39	40	21	9	0.86	41	38	21	9	0.38
11653	47	33	20	9	1.05	51	29	20	9	0.41
11654	77	14	9	11	0.7	67	16	17	11	0.4
11655	79	12	9	11	0.87	79	11	10	11	0.26
11656	80	12	8	12	0.58	79	11	10	11	0.24
11657	39	40	21	9	0.86	41	38	21	9	0.38
11658	79	12	9	11	0.87	79	11	10	11	0.26
11659	39	40	21	9	0.86	41	38	21	9	0.38
11660	39	40	21	9	0.86	41	38	21	9	0.38
11661	37	40	23	9	1.07	36	36	28	5	0.37
11662	40	39	21	9	1.17	41	34	25	9	0.4
11663	75	15	10	11	0.7	68	17	15	11	0.27
11664	40	39	21	9	1.17	41	34	25	9	0.4
11665	17	29	54	3	4.54	22	25	53	3	1.23
11666	20	40	40	3	33.63	47	26	27	10	32.89
11667	45	36	19	9	1	39	34	27	5	0.47
11668	40	39	21	9	1.17	41	34	25	9	0.4
11669	45	36	19	9	1	39	34	27	5	0.47
11670	17	29	54	3	4.54	22	25	53	3	1.23
11671	20	40	40	3	33.63	47	26	27	10	32.89
11672	38	42	20	9	4.59	38	32	30	5	0.67
11673	20	40	40	3	33.63	47	26	27	10	32.89
11674	86	8	6	12	2.02	86	6	8	12	0.51
11675	40	39	21	9	1.17	41	34	25	9	0.4
11676	85	8	7	12	0.49	84	9	7	12	0.4
11677	76	18	6	11	0.7	58	33	9	11	0.3
11678	78	13	9	11	0.7	77	13	10	11	0.31
11679	49	31	20	9	2.4	-99	-99	-99	-99	-99
11680	73	18	9	11	1.4	-99	-99	-99	-99	-99
11681	86	8	6	12	2.02	86	6	8	12	0.51
11682	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
11683	42	36	22	9	1	41	34	25	9	0.37
11684	42	36	22	9	1	41	34	25	9	0.37
11685	77	14	9	11	0.7	67	16	17	11	0.4
11686	45	36	19	9	1	39	34	27	5	0.47
11687	37	40	23	9	1.07	36	36	28	5	0.37
11688	75	15	10	11	0.7	68	17	15	11	0.27
11689	76	13	11	11	0.79	62	15	23	10	0.41
11690	17	29	54	3	4.54	22	25	53	3	1.23
11691	74	16	10	11	0.93	68	16	16	11	0.23
11692	42	38	20	9	1.45	45	35	20	9	0.5
11693	45	36	19	9	1	39	34	27	5	0.47
11694	40	39	21	9	1.17	41	34	25	9	0.4
11695	87	9	4	12	2.18	88	8	4	13	0.39
11696	75	15	10	11	0.7	68	17	15	11	0.27
11697	17	29	54	3	4.54	22	25	53	3	1.23
11698	79	13	8	12	2.59	-99	-99	-99	-99	-99
11699	83	11	6	12	0.5	80	11	9	12	0.3
11700	42	38	20	9	1.45	45	35	20	9	0.5
11701	42	36	22	9	1	41	34	25	9	0.37
11702	40	39	21	9	1.17	41	34	25	9	0.4
11703	37	40	23	9	1.07	36	36	28	5	0.37
11704	42	38	20	9	1.45	45	35	20	9	0.5
11705	75	15	10	11	0.7	68	17	15	11	0.27
11706	86	8	6	12	2.02	86	6	8	12	0.51
11707	40	39	21	9	1.17	41	34	25	9	0.4
11708	49	31	20	9	2.4	-99	-99	-99	-99	-99
11709	37	44	19	9	0.99	31	38	31	5	0.29
11710	17	32	51	3	1.25	19	29	52	3	0.45
11711	31	22	47	3	1.2	27	20	53	3	0.59
11712	40	39	21	9	1.17	41	34	25	9	0.4
11713	23	29	48	3	1.17	26	29	45	3	0.58
11714	19	32	49	3	1.19	21	32	47	3	0.55
11715	50	40	10	9	5.27	55	35	10	11	0.81
11716	45	52	3	7	4.6	51	45	4	11	0.81
11717	40	39	21	9	1.17	41	34	25	9	0.4
11718	87	9	4	12	2.18	88	8	4	13	0.39
11719	86	8	6	12	2.02	86	6	8	12	0.51
11720	74	16	10	11	0.93	68	16	16	11	0.23
11721	86	8	6	12	2.02	86	6	8	12	0.51
11722	20	40	40	3	33.63	47	26	27	10	32.89
11723	42	34	24	9	1.61	-99	-99	-99	-99	-99
11724	17	29	54	3	4.54	22	25	53	3	1.23
11725	86	8	6	12	2.02	86	6	8	12	0.51
11726	20	40	40	3	33.63	47	26	27	10	32.89
11727	17	29	54	3	4.54	22	25	53	3	1.23
11728	86	8	6	12	2.02	86	6	8	12	0.51
11729	75	15	10	11	0.7	68	17	15	11	0.27
11730	20	40	40	3	33.63	47	26	27	10	32.89
11731	17	29	54	3	4.54	22	25	53	3	1.23
11732	20	40	40	3	33.63	47	26	27	10	32.89
11733	17	29	54	3	4.54	22	25	53	3	1.23
11734	86	8	6	12	2.02	86	6	8	12	0.51
11735	20	40	40	3	33.63	47	26	27	10	32.89
11736	17	29	54	3	4.54	22	25	53	3	1.23
11737	86	8	6	12	2.02	86	6	8	12	0.51
11738	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
11739	42	34	24	9	1.61	-99	-99	-99	-99	-99
11740	20	40	40	3	33.63	47	26	27	10	32.89
11741	17	29	54	3	4.54	22	25	53	3	1.23
11742	86	8	6	12	2.02	86	6	8	12	0.51
11743	20	40	40	3	33.63	47	26	27	10	32.89
11744	17	29	54	3	4.54	22	25	53	3	1.23
11745	86	8	6	12	2.02	86	6	8	12	0.51
11746	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
11747	42	34	24	9	1.61	-99	-99	-99	-99	-99
11748	80	12	8	12	0.58	79	11	10	11	0.24
11749	79	12	9	11	0.87	79	11	10	11	0.26
11750	80	12	8	12	0.58	79	11	10	11	0.24
11751	35	33	32	5	39.4	52	23	25	10	38.46
11752	37	40	23	9	1.07	36	36	28	5	0.37
11753	42	36	22	9	1	41	34	25	9	0.37
11754	17	32	51	3	1.25	19	29	52	3	0.45
11755	40	39	21	9	1.17	41	34	25	9	0.4
11756	38	42	20	9	4.59	38	32	30	5	0.67
11757	45	36	19	9	1	39	34	27	5	0.47
11758	17	32	51	3	1.25	19	29	52	3	0.45
11759	17	29	54	3	4.54	22	25	53	3	1.23
11760	35	33	32	5	39.4	52	23	25	10	38.46
11761	40	39	21	9	1.17	41	34	25	9	0.4
11762	42	38	20	9	1.45	45	35	20	9	0.5
11763	40	39	21	9	1.17	41	34	25	9	0.4
11764	38	42	20	9	4.59	38	32	30	5	0.67
11765	42	38	20	9	1.45	45	35	20	9	0.5
11766	20	40	40	3	33.63	47	26	27	10	32.89
11767	38	42	20	9	4.59	38	32	30	5	0.67
11768	20	40	40	3	33.63	47	26	27	10	32.89
11769	42	34	24	9	1.61	-99	-99	-99	-99	-99
11770	42	34	24	9	1.61	-99	-99	-99	-99	-99
11771	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
11772	35	33	32	5	39.4	52	23	25	10	38.46
11773	74	16	10	11	0.93	68	16	16	11	0.23
11774	75	15	10	11	0.7	68	17	15	11	0.27
11775	75	15	10	11	0.7	68	17	15	11	0.27
11776	75	15	10	11	0.7	68	17	15	11	0.27
11777	74	16	10	11	0.93	68	16	16	11	0.23
11778	75	15	10	11	0.7	68	17	15	11	0.27
11779	74	16	10	11	0.93	68	16	16	11	0.23
11780	78	13	9	11	0.57	64	13	23	10	0.3
11781	77	14	9	11	0.7	67	16	17	11	0.4
11782	74	16	10	11	0.93	68	16	16	11	0.23
11783	75	15	10	11	0.7	68	17	15	11	0.27
11784	86	8	6	12	2.02	86	6	8	12	0.51
11785	20	40	40	3	33.63	47	26	27	10	32.89
11786	73	18	9	11	1.4	-99	-99	-99	-99	-99
11787	35	33	32	5	39.4	52	23	25	10	38.46
11788	78	13	9	11	0.57	64	13	23	10	0.3
11789	20	40	40	3	33.63	47	26	27	10	32.89
11790	20	40	40	3	33.63	47	26	27	10	32.89
11791	17	29	54	3	4.54	22	25	53	3	1.23
11792	79	13	8	12	2.59	-99	-99	-99	-99	-99
11793	75	15	10	11	0.7	68	17	15	11	0.27
11794	42	38	20	9	1.45	45	35	20	9	0.5
11795	40	39	21	9	1.17	41	34	25	9	0.4
11796	42	38	20	9	1.45	45	35	20	9	0.5
11797	37	40	23	9	1.07	36	36	28	5	0.37
11798	42	36	22	9	1	41	34	25	9	0.37
11799	49	31	20	9	2.4	-99	-99	-99	-99	-99
11800	75	15	10	11	0.7	68	17	15	11	0.27
11801	74	16	10	11	0.93	68	16	16	11	0.23
11802	20	40	40	3	33.63	47	26	27	10	32.89
11803	37	40	23	9	1.07	36	36	28	5	0.37
11804	42	36	22	9	1	41	34	25	9	0.37
11805	73	18	9	11	1.4	-99	-99	-99	-99	-99
11806	20	40	40	3	33.63	47	26	27	10	32.89
11807	86	8	6	12	2.02	86	6	8	12	0.51
11808	41	37	22	9	0.74	37	34	29	5	0.36
11809	31	54	15	7	1.59	24	50	26	7	0.2
11810	55	23	22	10	1.14	48	21	31	10	0.53
11811	37	44	19	9	0.99	31	38	31	5	0.29
11812	24	58	18	7	1.5	12	55	33	4	0.23
11813	21	29	50	3	1.43	21	28	51	3	0.58
11814	49	28	23	9	0.98	47	26	27	10	0.47
11815	49	28	23	9	0.98	47	26	27	10	0.47
11816	49	28	23	9	0.98	47	26	27	10	0.47
11817	49	28	23	9	0.98	47	26	27	10	0.47
11818	49	28	23	9	0.98	47	26	27	10	0.47
11819	49	28	23	9	0.98	47	26	27	10	0.47
11820	49	28	23	9	0.98	47	26	27	10	0.47
11821	23	29	48	3	1.17	26	29	45	3	0.58
11822	42	36	22	9	1	41	34	25	9	0.37
11823	23	29	48	3	1.17	26	29	45	3	0.58
11824	23	29	48	3	1.17	26	29	45	3	0.58
11825	42	36	22	9	1	41	34	25	9	0.37
11826	42	36	22	9	1	41	34	25	9	0.37
11827	36	43	21	9	0.65	34	43	23	9	0.43
11828	36	43	21	9	0.65	34	43	23	9	0.43
11829	36	43	21	9	0.65	34	43	23	9	0.43
11830	36	43	21	9	0.65	34	43	23	9	0.43
11831	36	43	21	9	0.65	34	43	23	9	0.43
11832	36	43	21	9	0.65	34	43	23	9	0.43
11833	36	43	21	9	0.65	34	43	23	9	0.43
11834	36	43	21	9	0.65	34	43	23	9	0.43
11835	76	12	12	11	0.36	70	14	16	11	0.34
11836	36	43	21	9	0.65	34	43	23	9	0.43
11837	36	43	21	9	0.65	34	43	23	9	0.43
11838	76	12	12	11	0.36	70	14	16	11	0.34
11839	36	43	21	9	0.65	34	43	23	9	0.43
11840	76	12	12	11	0.36	70	14	16	11	0.34
11841	36	43	21	9	0.65	34	43	23	9	0.43
11842	36	43	21	9	0.65	34	43	23	9	0.43
11843	36	43	21	9	0.65	34	43	23	9	0.43
11844	36	43	21	9	0.65	34	43	23	9	0.43
11845	36	43	21	9	0.65	34	43	23	9	0.43
11846	36	43	21	9	0.65	34	43	23	9	0.43
11847	36	43	21	9	0.65	34	43	23	9	0.43
11848	36	43	21	9	0.65	34	43	23	9	0.43
11849	76	12	12	11	0.36	70	14	16	11	0.34
11850	36	43	21	9	0.65	34	43	23	9	0.43
11851	76	12	12	11	0.36	70	14	16	11	0.34
11852	36	43	21	9	0.65	34	43	23	9	0.43
11853	36	43	21	9	0.65	34	43	23	9	0.43
11854	36	43	21	9	0.65	34	43	23	9	0.43
11855	76	12	12	11	0.36	70	14	16	11	0.34
11856	36	43	21	9	0.65	34	43	23	9	0.43
11857	36	43	21	9	0.65	34	43	23	9	0.43
11858	36	43	21	9	0.65	34	43	23	9	0.43
11859	36	43	21	9	0.65	34	43	23	9	0.43
11860	53	24	23	10	0.51	47	23	30	10	0.3
11861	83	6	11	12	0.3	76	7	17	11	0.2
11862	53	24	23	10	0.51	47	23	30	10	0.3
11863	53	24	23	10	0.51	47	23	30	10	0.3
11864	53	24	23	10	0.51	47	23	30	10	0.3
11865	53	24	23	10	0.51	47	23	30	10	0.3
11866	53	24	23	10	0.51	47	23	30	10	0.3
11867	34	22	44	3	0.63	30	21	49	3	0.3
11868	83	6	11	12	0.3	76	7	17	11	0.2
11869	53	24	23	10	0.51	47	23	30	10	0.3
11870	53	24	23	10	0.51	47	23	30	10	0.3
11871	53	24	23	10	0.51	47	23	30	10	0.3
11872	53	24	23	10	0.51	47	23	30	10	0.3
11873	47	29	24	9	0.83	39	27	34	5	0.28
11874	47	29	24	9	0.83	39	27	34	5	0.28
11875	47	29	24	9	0.83	39	27	34	5	0.28
11876	47	29	24	9	0.83	39	27	34	5	0.28
11877	47	29	24	9	0.83	39	27	34	5	0.28
11878	47	29	24	9	0.83	39	27	34	5	0.28
11879	47	29	24	9	0.83	39	27	34	5	0.28
11880	47	29	24	9	0.83	39	27	34	5	0.28
11881	80	11	9	12	0.63	68	10	22	10	0.3
11882	43	16	41	3	0.84	37	15	48	3	0.55
11883	47	29	24	9	0.83	39	27	34	5	0.28
11884	80	11	9	12	0.63	68	10	22	10	0.3
11885	80	11	9	12	0.63	68	10	22	10	0.3
11886	80	11	9	12	0.63	68	10	22	10	0.3
11887	29	50	21	7	1.12	34	45	21	9	0.82
11888	29	50	21	7	1.12	34	45	21	9	0.82
11889	46	40	14	9	1.15	40	45	15	9	0.78
11890	29	50	21	7	1.12	34	45	21	9	0.82
11891	29	50	21	7	1.12	34	45	21	9	0.82
11892	29	50	21	7	1.12	34	45	21	9	0.82
11893	29	50	21	7	1.12	34	45	21	9	0.82
11894	36	43	21	9	0.65	34	43	23	9	0.43
11895	36	43	21	9	0.65	34	43	23	9	0.43
11896	36	43	21	9	0.65	34	43	23	9	0.43
11897	36	43	21	9	0.65	34	43	23	9	0.43
11898	36	43	21	9	0.65	34	43	23	9	0.43
11899	36	43	21	9	0.65	34	43	23	9	0.43
11900	36	43	21	9	0.65	34	43	23	9	0.43
11901	36	43	21	9	0.65	34	43	23	9	0.43
11902	36	43	21	9	0.65	34	43	23	9	0.43
11903	36	43	21	9	0.65	34	43	23	9	0.43
11904	36	43	21	9	0.65	34	43	23	9	0.43
11905	76	12	12	11	0.36	70	14	16	11	0.34
11906	36	43	21	9	0.65	34	43	23	9	0.43
11907	76	12	12	11	0.36	70	14	16	11	0.34
11908	76	12	12	11	0.36	70	14	16	11	0.34
11909	36	43	21	9	0.65	34	43	23	9	0.43
11910	36	43	21	9	0.65	34	43	23	9	0.43
11911	25	54	21	7	1.6	23	49	28	5	0.4
11912	24	53	23	7	0.53	24	48	28	5	0.3
11913	39	42	19	9	1.15	34	41	25	9	0.78
11914	23	54	23	7	2.09	26	52	22	7	0.89
11915	28	47	25	9	1.65	28	47	25	9	0.78
11916	34	41	25	9	1.64	34	37	29	5	0.78
11917	79	5	16	11	1.02	68	4	28	10	0.4
11918	82	8	10	12	1.02	56	12	32	10	0.4
11919	42	36	22	9	1	41	34	25	9	0.37
11920	38	39	23	9	1.95	40	37	23	9	0.67
11921	35	42	23	9	1.26	29	38	33	5	0.5
11922	38	34	28	5	1.7	34	30	36	5	0.62
11923	38	34	28	5	1.7	34	30	36	5	0.62
11924	25	54	21	7	1.6	23	49	28	5	0.4
11925	25	54	21	7	1.6	23	49	28	5	0.4
11926	66	10	24	10	0.43	86	7	7	12	0.24
11927	25	54	21	7	1.6	23	49	28	5	0.4
11928	23	54	23	7	2.09	26	52	22	7	0.89
11929	23	54	23	7	2.09	26	52	22	7	0.89
11930	12	46	42	2	2.62	12	48	40	2	1.17
11931	72	19	9	11	1.14	69	19	12	11	0.5
11932	23	54	23	7	2.09	26	52	22	7	0.89
11933	89	6	5	13	0.4	90	5	5	13	0.2
11934	23	54	23	7	2.09	26	52	22	7	0.89
11935	90	5	5	13	0.4	90	5	5	13	0.21
11936	19	37	44	3	2.44	14	39	47	3	1.25
11937	34	41	25	9	1.64	34	37	29	5	0.78
11938	34	41	25	9	1.64	34	37	29	5	0.78
11939	34	41	25	9	1.64	34	37	29	5	0.78
11940	28	47	25	9	1.65	28	47	25	9	0.78
11941	28	47	25	9	1.65	28	47	25	9	0.78
11942	82	8	10	12	1.02	56	12	32	10	0.4
11943	82	8	10	12	1.02	56	12	32	10	0.4
11944	39	42	19	9	1.15	34	41	25	9	0.78
11945	28	47	25	9	1.65	28	47	25	9	0.78
11946	28	47	25	9	1.65	28	47	25	9	0.78
11947	28	47	25	9	1.65	28	47	25	9	0.78
11948	28	47	25	9	1.65	28	47	25	9	0.78
11949	34	41	25	9	2.17	31	38	31	5	0.82
11950	39	42	19	9	1.15	34	41	25	9	0.78
11951	28	47	25	9	1.65	28	47	25	9	0.78
11952	13	42	45	2	2.1	13	44	43	2	0.86
11953	36	42	22	9	1.28	30	42	28	5	0.6
11954	36	42	22	9	1.28	30	42	28	5	0.6
11955	36	42	22	9	1.28	30	42	28	5	0.6
11956	69	21	10	11	0.4	41	38	21	9	0.3
11957	36	42	22	9	1.28	30	42	28	5	0.6
11958	36	42	22	9	1.28	30	42	28	5	0.6
11959	36	42	22	9	1.28	30	42	28	5	0.6
11960	69	21	10	11	0.4	41	38	21	9	0.3
11961	8	54	38	4	1.68	8	51	41	2	0.74
11962	89	6	5	13	0.5	89	6	5	13	0.3
11963	34	48	18	9	0.6	36	46	18	9	0.4
11964	66	10	24	10	0.43	86	7	7	12	0.24
11965	83	8	9	12	0.4	79	10	11	11	0.2
11966	37	42	21	9	1.2	37	43	20	9	0.48
11967	37	42	21	9	1.2	37	43	20	9	0.48
11968	37	42	21	9	1.2	37	43	20	9	0.48
11969	37	42	21	9	1.2	37	43	20	9	0.48
11970	30	39	31	5	0.4	29	40	31	5	0.3
11971	37	42	21	9	1.2	37	43	20	9	0.48
11972	37	42	21	9	1.2	37	43	20	9	0.48
11973	37	42	21	9	1.2	37	43	20	9	0.48
11974	37	42	21	9	1.2	37	43	20	9	0.48
11975	37	42	21	9	1.2	37	43	20	9	0.48
11976	37	42	21	9	1.2	37	43	20	9	0.48
11977	37	42	21	9	1.2	37	43	20	9	0.48
11978	79	15	6	12	0.41	79	15	6	12	0.17
11979	89	6	5	13	0.43	89	5	6	13	0.24
11980	52	25	23	10	0.6	49	23	28	10	0.49
11981	29	45	26	9	1.42	29	47	24	9	0.57
11982	29	45	26	9	1.42	29	47	24	9	0.57
11983	29	45	26	9	1.42	29	47	24	9	0.57
11984	71	20	9	11	0.4	55	27	18	11	0.3
11985	29	45	26	9	1.42	29	47	24	9	0.57
11986	29	45	26	9	1.42	29	47	24	9	0.57
11987	52	25	23	10	0.6	49	23	28	10	0.49
11988	79	15	6	12	0.41	79	15	6	12	0.17
11989	89	6	5	13	0.43	89	5	6	13	0.24
11990	37	42	21	9	1.2	37	43	20	9	0.48
11991	37	42	21	9	1.2	37	43	20	9	0.48
11992	37	42	21	9	1.2	37	43	20	9	0.48
11993	30	39	31	5	0.4	29	40	31	5	0.3
11994	37	42	21	9	1.2	37	43	20	9	0.48
11995	29	45	26	9	1.42	29	47	24	9	0.57
11996	29	45	26	9	1.42	29	47	24	9	0.57
11997	29	45	26	9	1.42	29	47	24	9	0.57
11998	29	45	26	9	1.42	29	47	24	9	0.57
11999	29	45	26	9	1.42	29	47	24	9	0.57
