#ID	T_SAND	T_SILT	T_CLAY	T_USDA_TEX_CLASS	T_OC	S_SAND	S_SILT	S_CLAY	S_USDA_TEX_CLASS	S_OC
11253	37	44	19	9	2.13	-99	-99	-99	-99	-99
11254	37	44	19	9	2.13	-99	-99	-99	-99	-99
11255	42	34	24	9	1.61	-99	-99	-99	-99	-99
11256	42	36	22	9	1	41	34	25	9	0.37
11257	48	28	24	9	0.83	41	25	34	5	0.4
11258	37	44	19	9	2.13	-99	-99	-99	-99	-99
11259	37	44	19	9	2.13	-99	-99	-99	-99	-99
11260	42	36	22	9	1	41	34	25	9	0.37
11261	42	34	24	9	1.61	-99	-99	-99	-99	-99
11262	32	49	19	9	2.22	25	51	24	7	0.5
11263	23	54	23	7	2.09	26	52	22	7	0.89
11264	34	41	25	9	1.64	34	37	29	5	0.78
11265	45	36	19	9	1.57	52	29	19	11	0.56
11266	23	54	23	7	2.09	26	52	22	7	0.89
11267	34	41	25	9	1.64	34	37	29	5	0.78
11268	28	47	25	9	1.65	28	47	25	9	0.78
11269	44	35	21	9	0.75	40	35	25	9	0.47
11270	45	36	19	9	1.57	52	29	19	11	0.56
11271	28	47	25	9	1.65	28	47	25	9	0.78
11272	45	36	19	9	1.57	52	29	19	11	0.56
11273	39	39	22	9	1.65	37	35	28	5	0.69
11274	35	43	22	9	1.37	35	44	21	9	0.48
11275	39	39	22	9	1.65	37	35	28	5	0.69
11276	34	48	18	9	0.6	36	46	18	9	0.4
11277	39	40	21	9	0.86	41	38	21	9	0.38
11278	18	29	53	3	3.12	31	27	42	3	1.07
11279	17	32	51	3	1.25	19	29	52	3	0.45
11280	89	6	5	13	0.5	89	6	5	13	0.3
11281	42	36	22	9	1	41	34	25	9	0.37
11282	45	36	19	9	1.57	52	29	19	11	0.56
11283	90	5	5	13	0.4	90	5	5	13	0.21
11284	37	40	23	9	1.07	36	36	28	5	0.37
11285	35	33	32	5	39.4	52	23	25	10	38.46
11286	42	36	22	9	1	41	34	25	9	0.37
11287	37	44	19	9	2.13	-99	-99	-99	-99	-99
11288	42	36	22	9	1	41	34	25	9	0.37
11289	32	49	19	9	2.22	25	51	24	7	0.5
11290	39	40	21	9	0.86	41	38	21	9	0.38
11291	42	36	22	9	1	41	34	25	9	0.37
11292	42	36	22	9	1	41	34	25	9	0.37
11293	42	38	20	9	1.06	33	31	36	5	0.43
11294	37	44	19	9	2.13	-99	-99	-99	-99	-99
11295	47	33	20	9	1.05	51	29	20	9	0.41
11296	42	38	20	9	1.45	45	35	20	9	0.5
11297	42	38	20	9	1.45	45	35	20	9	0.5
11298	42	36	22	9	1	41	34	25	9	0.37
11299	49	31	20	9	2.4	-99	-99	-99	-99	-99
11300	47	33	20	9	1.05	51	29	20	9	0.41
11301	42	38	20	9	1.45	45	35	20	9	0.5
11302	75	15	10	11	0.7	68	17	15	11	0.27
11303	42	38	20	9	1.45	45	35	20	9	0.5
11304	79	13	8	12	2.59	-99	-99	-99	-99	-99
11305	86	8	6	12	2.02	86	6	8	12	0.51
11306	37	44	19	9	2.13	-99	-99	-99	-99	-99
11307	49	28	23	9	0.98	47	26	27	10	0.47
11308	75	15	10	11	0.7	68	17	15	11	0.27
11309	86	8	6	12	2.02	86	6	8	12	0.51
11310	42	38	20	9	1.45	45	35	20	9	0.5
11311	79	13	8	12	2.59	-99	-99	-99	-99	-99
11312	73	18	9	11	1.4	-99	-99	-99	-99	-99
11313	37	44	19	9	2.13	-99	-99	-99	-99	-99
11314	41	37	22	9	0.74	37	34	29	5	0.36
11315	37	45	18	9	0.82	33	35	32	5	0.38
11316	44	35	21	9	0.75	40	35	25	9	0.47
11317	42	36	22	9	1	41	34	25	9	0.37
11318	42	38	20	9	1.06	33	31	36	5	0.43
11319	47	29	24	9	0.83	39	27	34	5	0.28
11320	42	38	20	9	1.14	28	29	43	3	0.37
11321	41	37	22	9	0.74	37	34	29	5	0.36
11322	42	36	22	9	1	41	34	25	9	0.37
11323	44	35	21	9	0.75	40	35	25	9	0.47
11324	32	49	19	9	2.22	25	51	24	7	0.5
11325	41	37	22	9	0.74	37	34	29	5	0.36
11326	42	38	20	9	1.14	28	29	43	3	0.37
11327	44	35	21	9	0.75	40	35	25	9	0.47
11328	38	39	23	9	1.95	40	37	23	9	0.67
11329	42	36	22	9	1	41	34	25	9	0.37
11330	73	18	9	11	1.4	-99	-99	-99	-99	-99
11331	19	37	44	3	2.1	-99	-99	-99	-99	-99
11332	72	19	9	11	1.14	69	19	12	11	0.5
11333	45	36	19	9	1.57	52	29	19	11	0.56
11334	89	6	5	13	0.5	89	6	5	13	0.3
11335	39	39	22	9	1.65	37	35	28	5	0.69
11336	49	31	20	9	2.4	-99	-99	-99	-99	-99
11337	42	38	20	9	1.45	45	35	20	9	0.5
11338	42	38	20	9	1.45	45	35	20	9	0.5
11339	73	18	9	11	1.4	-99	-99	-99	-99	-99
11340	47	33	20	9	1.05	51	29	20	9	0.41
11341	87	9	4	12	2.18	88	8	4	13	0.39
11342	79	13	8	12	2.59	-99	-99	-99	-99	-99
11343	73	18	9	11	1.4	-99	-99	-99	-99	-99
11344	20	40	40	3	33.63	47	26	27	10	32.89
11345	19	32	49	3	1.19	21	32	47	3	0.55
11346	14	39	47	3	0.97	15	40	45	3	0.45
11347	36	43	21	9	0.65	34	43	23	9	0.43
11348	8	34	58	3	2.27	11	32	57	3	2.5
11349	19	32	49	3	1.19	21	32	47	3	0.55
11350	34	48	18	9	0.6	36	46	18	9	0.4
11351	23	29	48	3	1.17	26	29	45	3	0.58
11352	39	39	22	9	1.65	37	35	28	5	0.69
11353	44	35	21	9	0.75	40	35	25	9	0.47
11354	14	39	47	3	0.97	15	40	45	3	0.45
11355	19	32	49	3	1.19	21	32	47	3	0.55
11356	36	43	21	9	0.65	34	43	23	9	0.43
11357	79	15	6	12	0.41	79	15	6	12	0.17
11358	36	43	21	9	0.65	34	43	23	9	0.43
11359	39	40	21	9	0.86	41	38	21	9	0.38
11360	79	15	6	12	0.41	79	15	6	12	0.17
11361	23	29	48	3	1.17	26	29	45	3	0.58
11362	44	35	21	9	0.75	40	35	25	9	0.47
11363	17	32	51	3	1.25	19	29	52	3	0.45
11364	37	44	19	9	0.99	31	38	31	5	0.29
11365	41	37	22	9	0.74	37	34	29	5	0.36
11366	42	38	20	9	1.06	33	31	36	5	0.43
11367	37	40	23	9	1.07	36	36	28	5	0.37
11368	25	22	53	3	0.93	23	21	56	3	0.54
11369	31	22	47	3	1.2	27	20	53	3	0.59
11370	38	18	44	3	0.98	35	14	51	3	0.47
11371	17	32	51	3	1.25	19	29	52	3	0.45
11372	37	44	19	9	0.99	31	38	31	5	0.29
11373	78	13	9	11	0.57	64	13	23	10	0.3
11374	39	40	21	9	0.86	41	38	21	9	0.38
11375	17	32	51	3	1.25	19	29	52	3	0.45
11376	37	44	19	9	0.99	31	38	31	5	0.29
11377	19	32	49	3	1.41	18	31	51	3	0.49
11378	41	37	22	9	0.74	37	34	29	5	0.36
11379	40	39	21	9	1.17	41	34	25	9	0.4
11380	37	44	19	9	0.99	31	38	31	5	0.29
11381	42	38	20	9	1.45	45	35	20	9	0.5
11382	76	14	10	11	0.89	60	14	26	10	0.6
11383	89	6	5	13	0.5	89	6	5	13	0.3
11384	86	10	4	12	1.97	85	10	5	12	0.91
11385	39	39	22	9	1.65	37	35	28	5	0.69
11386	35	33	32	5	39.4	52	23	25	10	38.46
11387	34	48	18	9	0.6	36	46	18	9	0.4
11388	38	42	20	9	4.59	38	32	30	5	0.67
11389	40	39	21	9	1.17	41	34	25	9	0.4
11390	45	52	3	7	4.6	51	45	4	11	0.81
11391	20	40	40	3	33.63	47	26	27	10	32.89
11392	85	8	7	12	0.49	84	9	7	12	0.4
11393	78	13	9	11	0.57	64	13	23	10	0.3
11394	89	6	5	13	0.5	89	6	5	13	0.3
11395	78	13	9	11	0.7	77	13	10	11	0.31
11396	47	33	20	9	1.05	51	29	20	9	0.41
11397	89	6	5	13	0.5	89	6	5	13	0.3
11398	89	6	5	13	0.5	89	6	5	13	0.3
11399	90	5	5	13	0.39	87	5	8	12	0.2
11400	77	14	9	11	0.7	67	16	17	11	0.4
11401	87	9	4	12	2.18	88	8	4	13	0.39
11402	78	13	9	11	0.57	64	13	23	10	0.3
11403	90	5	5	13	0.39	87	5	8	12	0.2
11404	89	6	5	13	0.5	89	6	5	13	0.3
11405	76	16	8	11	1.93	-99	-99	-99	-99	-99
11406	87	9	4	12	2.18	88	8	4	13	0.39
11407	89	6	5	13	0.5	89	6	5	13	0.3
11408	80	9	11	11	0.45	72	9	19	11	0.26
11409	87	9	4	12	2.18	88	8	4	13	0.39
11410	90	5	5	13	0.39	87	5	8	12	0.2
11411	77	14	9	11	0.7	67	16	17	11	0.4
11412	37	44	19	9	2.13	-99	-99	-99	-99	-99
11413	42	36	22	9	1	41	34	25	9	0.37
11414	41	37	22	9	0.74	37	34	29	5	0.36
11415	44	35	21	9	0.75	40	35	25	9	0.47
11416	49	31	20	9	2.4	-99	-99	-99	-99	-99
11417	86	8	6	12	2.02	86	6	8	12	0.51
