1982	1	1	55.4
1982	1	2	34.6
1982	1	3	51
1982	1	4	39.4
1982	1	5	38
1982	1	6	52.9
1982	1	7	54
1982	1	8	69.2
1982	1	9	68.5
1982	1	10	43.6
1982	1	11	40.4
1982	1	12	32
1982	1	13	31
1982	1	14	18
1982	1	15	62.3
1982	1	16	47
1982	1	17	43
1982	1	18	44.1
1982	1	19	34
1982	1	20	36.6
1982	1	21	39.2
1982	1	22	47.8
1982	1	23	39.9
1982	1	24	32.7
1982	1	25	28.8
1982	1	26	22.9
1982	1	27	28.8
1982	1	28	24.8
1982	1	29	20.1
1982	1	30	20.9
1982	1	31	52.8
1982	2	1	56
1982	2	2	62.7
1982	2	3	43.9
1982	2	4	53.8
1982	2	5	56.1
1982	2	6	43.3
1982	2	7	90.4
1982	2	8	81.3
1982	2	9	158
1982	2	10	337
1982	2	11	463
1982	2	12	283
1982	2	13	165
1982	2	14	129
1982	2	15	129
1982	2	16	90.1
1982	2	17	91.1
1982	2	18	78.5
1982	2	19	86.8
1982	2	20	61.1
1982	2	21	38.1
1982	2	22	80.5
1982	2	23	119
1982	2	24	114
1982	2	25	87.7
1982	2	26	87.3
1982	2	27	101
1982	2	28	102
1982	3	1	87.4
1982	3	2	69.8
1982	3	3	56.8
1982	3	4	51.1
1982	3	5	72.5
1982	3	6	208.2
1982	3	7	486
1982	3	8	547
1982	3	9	409
1982	3	10	206
1982	3	11	178
1982	3	12	181.6
1982	3	13	375
1982	3	14	310
1982	3	15	350
1982	3	16	272
1982	3	17	192
1982	3	18	146
1982	3	19	138
1982	3	20	90.2
1982	3	21	89
1982	3	22	92.8
1982	3	23	87.4
1982	3	24	107
1982	3	25	130
1982	3	26	151
1982	3	27	155
1982	3	28	120
1982	3	29	122
1982	3	30	109
1982	3	31	122.4
1982	4	1	302
1982	4	2	193.2
1982	4	3	196
1982	4	4	339
1982	4	5	313
1982	4	6	188.6
1982	4	7	145
1982	4	8	134
1982	4	9	114
1982	4	10	105
1982	4	11	106.5
1982	4	12	73.8
1982	4	13	86
1982	4	14	110
1982	4	15	98.3
1982	4	16	77.1
1982	4	17	71.6
1982	4	18	73.9
1982	4	19	79.2
1982	4	20	76.6
1982	4	21	90
1982	4	22	120.8
1982	4	23	118
1982	4	24	132
1982	4	25	397
1982	4	26	283
1982	4	27	131
1982	4	28	98.1
1982	4	29	99.6
1982	4	30	153.2
1982	5	1	239
1982	5	2	192.7
1982	5	3	120.2
1982	5	4	92.2
1982	5	5	113
1982	5	6	413.9
1982	5	7	291
1982	5	8	302.3
1982	5	9	297
1982	5	10	2564
1982	5	11	1056
1982	5	12	578
1982	5	13	347
1982	5	14	308.2
1982	5	15	269
1982	5	16	225.8
1982	5	17	190
1982	5	18	202
1982	5	19	205
1982	5	20	132.3
1982	5	21	135.5
1982	5	22	116.6
1982	5	23	114
1982	5	24	109.6
1982	5	25	103.4
1982	5	26	107.3
1982	5	27	112.9
1982	5	28	236.2
1982	5	29	299
1982	5	30	256.8
1982	5	31	191.1
1982	6	1	146
1982	6	2	293
1982	6	3	163
1982	6	4	160.5
1982	6	5	176.5
1982	6	6	110.2
1982	6	7	182.1
1982	6	8	205.6
1982	6	9	163.7
1982	6	10	170.3
1982	6	11	181.4
1982	6	12	166.7
1982	6	13	268.6
1982	6	14	1160
1982	6	15	1745
1982	6	16	2672
1982	6	17	2005
1982	6	18	2038
1982	6	19	1177
1982	6	20	859.5
1982	6	21	549.7
1982	6	22	309.1
1982	6	23	277.5
1982	6	24	507.8
1982	6	25	350
1982	6	26	380
1982	6	27	378
1982	6	28	314.8
1982	6	29	235.3
1982	6	30	243
1982	7	1	335
1982	7	2	350.2
1982	7	3	319
1982	7	4	374.1
1982	7	5	430.1
1982	7	6	371.7
1982	7	7	315.4
1982	7	8	274.8
1982	7	9	216.8
1982	7	10	199.3
1982	7	11	183.1
1982	7	12	164.5
1982	7	13	164.5
1982	7	14	153
1982	7	15	161.1
1982	7	16	152.8
1982	7	17	123.8
1982	7	18	130
1982	7	19	155
1982	7	20	120
1982	7	21	109.5
1982	7	22	115.3
1982	7	23	99.4
1982	7	24	103.3
1982	7	25	138.1
1982	7	26	106.5
1982	7	27	114.6
1982	7	28	101.8
1982	7	29	102.8
1982	7	30	158.8
1982	7	31	205.7
1982	8	1	198.4
1982	8	2	154
1982	8	3	154.7
1982	8	4	142
1982	8	5	112.7
1982	8	6	115.9
1982	8	7	117.5
1982	8	8	115.1
1982	8	9	93.6
1982	8	10	92
1982	8	11	119
1982	8	12	83
1982	8	13	104.2
1982	8	14	130.2
1982	8	15	88.5
1982	8	16	96.1
1982	8	17	99.1
1982	8	18	84.1
1982	8	19	140
1982	8	20	143
1982	8	21	117.9
1982	8	22	100
1982	8	23	96.2
1982	8	24	116.1
1982	8	25	90.1
1982	8	26	81.2
1982	8	27	77.4
1982	8	28	64
1982	8	29	52.1
1982	8	30	81.3
1982	8	31	97
1982	9	1	125.2
1982	9	2	91.8
1982	9	3	75
1982	9	4	60.8
1982	9	5	59.5
1982	9	6	52.4
1982	9	7	83
1982	9	8	54
1982	9	9	68.7
1982	9	10	55.9
1982	9	11	60
1982	9	12	51.5
1982	9	13	98.7
1982	9	14	175.4
1982	9	15	171.9
1982	9	16	116.3
1982	9	17	97.2
1982	9	18	88.9
1982	9	19	72.2
1982	9	20	47.4
1982	9	21	89.3
1982	9	22	68.4
1982	9	23	87.3
1982	9	24	44
1982	9	25	52.3
1982	9	26	44.3
1982	9	27	69.2
1982	9	28	44.1
1982	9	29	58
1982	9	30	67.1
