0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,4,3,0,3,5,3,5,6,3,3,5,4,4,4,0,0,0
2,4,4,0,5,7,5,2,0,4,0,2,3,5,3,0,0,0
0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
1,0,1,0,2,2,2,1,1,1,1,2,2,1,4,0,0,0
1,2,1,0,0,1,1,2,2,1,3,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,9,0,7,4,10,7,6,6,6,7,7,11,14,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,0,5,4,3,2,0,2,0,0,4,5,4,0,0,0
1,1,1,0,21,2,3,1,1,3,0,1,1,1,2,0,0,0
1,4,5,0,4,4,5,1,0,3,1,2,6,4,7,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,12,16,0,12,15,11,11,16,13,16,14,16,14,10,0,0,0
24,35,31,0,23,21,21,16,16,30,18,20,25,33,34,0,0,0
1,0,0,0,1,0,0,0,0,1,2,0,0,1,1,0,0,0
32,28,44,0,47,42,48,37,6,35,29,38,38,55,39,0,0,0
31,19,18,0,13,11,19,27,21,26,27,31,23,21,15,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,3,0,1,0,1,1,1,3,4,4,4,3,1,0,0,0
6,0,1,0,2,2,3,8,6,4,3,3,3,2,2,0,0,0
6,0,5,0,5,4,4,7,8,4,3,4,3,5,3,0,0,0
12,0,10,0,11,8,13,15,26,11,11,15,13,12,12,0,0,0
1,0,1,0,1,1,1,2,1,1,1,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,1,1,2,0,3,1,0,0,0,0
3,0,3,0,4,7,6,4,0,1,2,4,3,4,4,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,2,0,3,2,2,1,0,1,0,1,1,2,0,0,0,0
13,14,14,23,17,17,15,11,12,14,11,14,14,16,18,0,0,0
0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0
1,1,0,0,1,0,0,1,2,1,1,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,1,4,0,0,0,1,2,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,8,0,5,0,1,0,0,3,6,3,11,1,4,0,0,0
0,0,0,0,0,1,1,1,0,1,1,6,0,1,1,0,0,0
14,6,9,0,14,11,10,6,8,9,12,11,17,13,12,0,0,0
29,28,19,0,29,22,27,23,9,28,28,28,19,23,17,0,0,0
